District,Months,Visitors
Mahbubnagar,Jun-2021,32923
Mahbubnagar,Jul-2021,300593
Mahbubnagar,Aug-2021,299804
Mahbubnagar,Sep-2021,250520
Mahbubnagar,Oct-2021,208937
Mahbubnagar,Nov-2021,675277
Mahbubnagar,Dec-2021,205813
Mancherial,Jan-2021,14998
Mancherial,Feb-2021,12438
Mancherial,Mar-2021,7304
Mancherial,Apr-2021,6000
Mancherial,May-2021,1466
Mancherial,Jun-2021,1503
Mancherial,Jul-2021,4134
Mancherial,Aug-2021,7294
Mancherial,Sep-2021,5668
Mancherial,Oct-2021,5130
Mancherial,Nov-2021,5988
Mancherial,Dec-2021,9372
Medak,Jan-2021,48000
Medak,Feb-2021,44000
Medak,Mar-2021,49000
Medak,Apr-2021,39000
Medak,May-2021,4000
Medak,Jun-2021,15000
Medak,Jul-2021,16000
Medak,Aug-2021,33500
Medak,Sep-2021,15500
Medak,Oct-2021,17500
Medak,Nov-2021,20000
Medak,Dec-2021,16350
Mulugu,Jan-2021,61800
Mulugu,Feb-2021,62400
Mulugu,Mar-2021,65550
Mulugu,Apr-2021,65650
Mulugu,May-2021,19850
Mulugu,Jun-2021,19850
Mulugu,Jul-2021,36800
Mulugu,Aug-2021,44050
Mulugu,Sep-2021,47055
Mulugu,Oct-2021,41000
Mulugu,Nov-2021,51060
Mulugu,Dec-2021,45550
Nagarkurnool,Jan-2021,88188
Nagarkurnool,Feb-2021,84801
Nagarkurnool,Mar-2021,82629
Nagarkurnool,Apr-2021,85938
Nagarkurnool,May-2021,900
Nagarkurnool,Jun-2021,31800
Nagarkurnool,Jul-2021,114690
Nagarkurnool,Aug-2021,123210
Nagarkurnool,Sep-2021,104510
Nagarkurnool,Oct-2021,91559
Nagarkurnool,Nov-2021,117740
Nagarkurnool,Dec-2021,111530
Nalgonda & Suryapet,Jan-2021,9097
Nalgonda & Suryapet,Feb-2021,6126
Nalgonda & Suryapet,Mar-2021,5729
Nalgonda & Suryapet,Apr-2021,1033
Nalgonda & Suryapet,May-2021,148
Nalgonda & Suryapet,Jun-2021,1044
Nalgonda & Suryapet,Jul-2021,6744
Nalgonda & Suryapet,Aug-2021,7852
Nalgonda & Suryapet,Sep-2021,21650
Nalgonda & Suryapet,Oct-2021,14431
Nalgonda & Suryapet,Nov-2021,7684
Nalgonda & Suryapet,Dec-2021,12528
Narayanapet,Jan-2021,45720
Narayanapet,Feb-2021,34377
Narayanapet,Mar-2021,34327
Narayanapet,Apr-2021,24289
Narayanapet,May-2021,328
Narayanapet,Jun-2021,6010
Narayanapet,Jul-2021,26950
Narayanapet,Aug-2021,24200
Narayanapet,Sep-2021,19500
Narayanapet,Oct-2021,23700
Narayanapet,Nov-2021,27400
Narayanapet,Dec-2021,24250
Nirmal,Jan-2021,154786
Nirmal,Feb-2021,225686
Nirmal,Mar-2021,205287
Nirmal,Apr-2021,125395
Nirmal,May-2021,25969
Nirmal,Jun-2021,7048
Nirmal,Jul-2021,125523
Nirmal,Aug-2021,173301
Nirmal,Sep-2021,225421
Nirmal,Oct-2021,265203
Nirmal,Nov-2021,228200
Nirmal,Dec-2021,195660
Nizamabad,Jan-2021,9450
Nizamabad,Feb-2021,50500
Nizamabad,Mar-2021,61080
Nizamabad,Apr-2021,30430
Nizamabad,May-2021,0
Nizamabad,Jun-2021,2020
Nizamabad,Jul-2021,14050
Nizamabad,Aug-2021,19580
Nizamabad,Sep-2021,12580
Nizamabad,Oct-2021,13600
Nizamabad,Nov-2021,19090
Nizamabad,Dec-2021,10120
Peddapalli,Jan-2021,1150
Peddapalli,Feb-2021,1245
Peddapalli,Mar-2021,2610
Peddapalli,Apr-2021,3405
Peddapalli,May-2021,355
Peddapalli,Jun-2021,420
Peddapalli,Jul-2021,550
Peddapalli,Aug-2021,779
Peddapalli,Sep-2021,660
Peddapalli,Oct-2021,650
