District,Months,Visitors
Mahbubnagar,Oct-2019,130227
Mahbubnagar,Nov-2019,234066
Mahbubnagar,Dec-2019,148938
Mancherial,Jan-2019,18420
Mancherial,Feb-2019,26325
Mancherial,Mar-2019,16253
Mancherial,Apr-2019,23026
Mancherial,May-2019,26616
Mancherial,Jun-2019,24593
Mancherial,Jul-2019,22303
Mancherial,Aug-2019,21191
Mancherial,Sep-2019,24079
Mancherial,Oct-2019,20867
Mancherial,Nov-2019,29302
Mancherial,Dec-2019,16835
Medak ,Jan-2019,400000
Medak ,Feb-2019,600000
Medak ,Mar-2019,1000000
Medak ,Apr-2019,650000
Medak ,May-2019,400000
Medak ,Jun-2019,300000
Medak ,Jul-2019,350000
Medak ,Aug-2019,349900
Medak ,Sep-2019,350400
Medak ,Oct-2019,350000
Medak ,Nov-2019,351560
Medak ,Dec-2019,350710
Medchal ,Jan-2019, 
Medchal ,Feb-2019, 
Medchal ,Mar-2019, 
Medchal ,Apr-2019, 
Medchal ,May-2019, 
Medchal ,Jun-2019, 
Medchal ,Jul-2019, 
Medchal ,Aug-2019, 
Medchal ,Sep-2019, 
Medchal ,Oct-2019, 
Medchal ,Nov-2019, 
Medchal ,Dec-2019, 
Mulugu,Jan-2019,0
Mulugu,Feb-2019,159640
Mulugu,Mar-2019,156610
Mulugu,Apr-2019,152570
Mulugu,May-2019,154550
Mulugu,Jun-2019,163480
Mulugu,Jul-2019,167700
Mulugu,Aug-2019,171050
Mulugu,Sep-2019,172900
Mulugu,Oct-2019,172500
Mulugu,Nov-2019,173700
Mulugu,Dec-2019,175100
Nagarkurnool ,Jan-2019,228812
Nagarkurnool ,Feb-2019,286258
Nagarkurnool ,Mar-2019,184508
Nagarkurnool ,Apr-2019,121460
Nagarkurnool ,May-2019,184372
Nagarkurnool ,Jun-2019,184508
Nagarkurnool ,Jul-2019,93450
Nagarkurnool ,Aug-2019,118010
Nagarkurnool ,Sep-2019,175712
Nagarkurnool ,Oct-2019,196160
Nagarkurnool ,Nov-2019,121425
Nagarkurnool ,Dec-2019,198637
Nalgonda,Jan-2019,21284
Nalgonda,Feb-2019,13697
Nalgonda,Mar-2019,8467
Nalgonda,Apr-2019,7202
Nalgonda,May-2019,26338
Nalgonda,Jun-2019,5558
Nalgonda,Jul-2019,19783
Nalgonda,Aug-2019,7473
Nalgonda,Sep-2019,5230
Nalgonda,Oct-2019,5290
Nalgonda,Nov-2019,7177
Nalgonda,Dec-2019,13419
Narayanapet,Jan-2019,
Narayanapet,Feb-2019,
Narayanapet,Mar-2019,
Narayanapet,Apr-2019,
Narayanapet,May-2019,
Narayanapet,Jun-2019,
Narayanapet,Jul-2019,68842
Narayanapet,Aug-2019,72249
Narayanapet,Sep-2019,62841
Narayanapet,Oct-2019,58213
Narayanapet,Nov-2019,62750
Narayanapet,Dec-2019,64355
Nirmal,Jan-2019,313675
Nirmal,Feb-2019,443898
Nirmal,Mar-2019,424964
Nirmal,Apr-2019,327971
Nirmal,May-2019,149705
Nirmal,Jun-2019,349747
Nirmal,Jul-2019,359495
Nirmal,Aug-2019,334646
Nirmal,Sep-2019,299827
Nirmal,Oct-2019,263412
Nirmal,Nov-2019,253388
Nirmal,Dec-2019,296050
Nizamabad,Jan-2019,878
Nizamabad,Feb-2019,915
Nizamabad,Mar-2019,938
Nizamabad,Apr-2019,958
Nizamabad,May-2019,1193
Nizamabad,Jun-2019,686
Nizamabad,Jul-2019,990
Nizamabad,Aug-2019,1004
Nizamabad,Sep-2019,6572
Nizamabad,Oct-2019,8849
Nizamabad,Nov-2019,11950
Nizamabad,Dec-2019,11400
Peddapalli,Jan-2019,1055
Peddapalli,Feb-2019,1157
Peddapalli,Mar-2019,895
Peddapalli,Apr-2019,942
Peddapalli,May-2019,802
Peddapalli,Jun-2019,735
Peddapalli,Jul-2019,1085
Peddapalli,Aug-2019,1505
Peddapalli,Sep-2019,1785
Peddapalli,Oct-2019,2080
Peddapalli,Nov-2019,2225
Peddapalli,Dec-2019,2315
Rajanna Sircilla ,Jan-2019,6188298
Rajanna Sircilla ,Feb-2019,1015550
Rajanna Sircilla ,Mar-2019,1444971
Rajanna Sircilla ,Apr-2019,1148062
Rajanna Sircilla ,May-2019,1018131
Rajanna Sircilla ,Jun-2019,1128849
Rajanna Sircilla ,Jul-2019,422961
Rajanna Sircilla ,Aug-2019,586118
Rajanna Sircilla ,Sep-2019,501293
Rajanna Sircilla ,Oct-2019,646492
Rajanna Sircilla ,Nov-2019,1259371
Rajanna Sircilla ,Dec-2019,1472801
Ranga Reddy,Jan-2019, 
Ranga Reddy,Feb-2019, 
Ranga Reddy,Mar-2019, 
Ranga Reddy,Apr-2019, 
Ranga Reddy,May-2019, 
Ranga Reddy,Jun-2019, 
Ranga Reddy,Jul-2019, 
Ranga Reddy,Aug-2019, 
Ranga Reddy,Sep-2019, 
Ranga Reddy,Oct-2019, 
Ranga Reddy,Nov-2019, 
Ranga Reddy,Dec-2019, 
Sangareddy ,Jan-2019,144000
Sangareddy ,Feb-2019,148000
Sangareddy ,Mar-2019,747000
Sangareddy ,Apr-2019,205000
Sangareddy ,May-2019,133000
Sangareddy ,Jun-2019,347000
Sangareddy ,Jul-2019,467000
Sangareddy ,Aug-2019,466150
Sangareddy ,Sep-2019,468350
Sangareddy ,Oct-2019,467470
Sangareddy ,Nov-2019,481720
Sangareddy ,Dec-2019,478470
Siddipet,Jan-2019,140793
Siddipet,Feb-2019,199549
Siddipet,Mar-2019,204600
Siddipet,Apr-2019,184412
Siddipet,May-2019,110500
Siddipet,Jun-2019,1037000
Siddipet,Jul-2019,179320
Siddipet,Aug-2019,190750
Siddipet,Sep-2019,122550
Siddipet,Oct-2019,191330
Siddipet,Nov-2019,209130
Siddipet,Dec-2019,217930
Suryapet,Jan-2019,
Suryapet,Feb-2019,
Suryapet,Mar-2019,
Suryapet,Apr-2019,
Suryapet,May-2019,
Suryapet,Jun-2019,
Suryapet,Jul-2019,
Suryapet,Aug-2019,
Suryapet,Sep-2019,
Suryapet,Oct-2019,
Suryapet,Nov-2019,
Suryapet,Dec-2019,
Vikarabad,Jan-2019, 
Vikarabad,Feb-2019, 
Vikarabad,Mar-2019, 
Vikarabad,Apr-2019, 
Vikarabad,May-2019, 
Vikarabad,Jun-2019, 
Vikarabad,Jul-2019, 
Vikarabad,Aug-2019, 
Vikarabad,Sep-2019, 
Vikarabad,Oct-2019, 
Vikarabad,Nov-2019, 
Vikarabad,Dec-2019, 
Wanaparthy ,Jan-2019,28131
Wanaparthy ,Feb-2019,22342
Wanaparthy ,Mar-2019,20050
Wanaparthy ,Apr-2019,23749
Wanaparthy ,May-2019,20010
Wanaparthy ,Jun-2019,20050
Wanaparthy ,Jul-2019,32625
Wanaparthy ,Aug-2019,35860
Wanaparthy ,Sep-2019,21375
Wanaparthy ,Oct-2019,21234
Wanaparthy ,Nov-2019,32657
Wanaparthy ,Dec-2019,20556
Warangal (Rural),Jan-2019,28700
Warangal (Rural),Feb-2019,28800
Warangal (Rural),Mar-2019,29000
Warangal (Rural),Apr-2019,26900
Warangal (Rural),May-2019,24900
Warangal (Rural),Jun-2019,27100
Warangal (Rural),Jul-2019,28600
Warangal (Rural),Aug-2019,31600
Warangal (Rural),Sep-2019,32600
Warangal (Rural),Oct-2019,31100
Warangal (Rural),Nov-2019,32150
Warangal (Rural),Dec-2019,32050
Warangal (Urban),Jan-2019,151545
Warangal (Urban),Feb-2019,157755
Warangal (Urban),Mar-2019,154305
Warangal (Urban),Apr-2019,150425
Warangal (Urban),May-2019,143230
Warangal (Urban),Jun-2019,144400
Warangal (Urban),Jul-2019,145440
Warangal (Urban),Aug-2019,148030
Warangal (Urban),Sep-2019,151070
Warangal (Urban),Oct-2019,147450
Warangal (Urban),Nov-2019,153880
Warangal (Urban),Dec-2019,147700
Yadadri Bhongir,Jan-2019,479293
Yadadri Bhongir,Feb-2019,56525
Yadadri Bhongir,Mar-2019,481923
Yadadri Bhongir,Apr-2019,441150
Yadadri Bhongir,May-2019,345790
Yadadri Bhongir,Jun-2019,370566
Yadadri Bhongir,Jul-2019,332770
Yadadri Bhongir,Aug-2019,389010
Yadadri Bhongir,Sep-2019,366862
Yadadri Bhongir,Oct-2019,381860
Yadadri Bhongir,Nov-2019,365990
Yadadri Bhongir,Dec-2019,477635
