District,Months,Visitors
Adilabad,Jan-2019,25071
Adilabad,Feb-2019,406177
Adilabad,Mar-2019,14347
Adilabad,Apr-2019,9972
Adilabad,May-2019,6997
Adilabad,Jun-2019,9161
Adilabad,Jul-2019,11791
Adilabad,Aug-2019,108173
Adilabad,Sep-2019,37589
Adilabad,Oct-2019,38184
Adilabad,Nov-2019,70344
Adilabad,Dec-2019,38089
Bhadradri Kothagudem ,Jan-2019,283365
Bhadradri Kothagudem ,Feb-2019,229159
Bhadradri Kothagudem ,Mar-2019,225448
Bhadradri Kothagudem ,Apr-2019,349585
Bhadradri Kothagudem ,May-2019,275800
Bhadradri Kothagudem ,Jun-2019,9761776
Bhadradri Kothagudem ,Jul-2019,233338
Bhadradri Kothagudem ,Aug-2019,271941
Bhadradri Kothagudem ,Sep-2019,314199
Bhadradri Kothagudem ,Oct-2019,287432
Bhadradri Kothagudem ,Nov-2019,298366
Bhadradri Kothagudem ,Dec-2019,287328
Hyderabad,Jan-2019,1426500
Hyderabad,Feb-2019,983147
Hyderabad,Mar-2019,1009991
Hyderabad,Apr-2019,1045933
Hyderabad,May-2019,1305748
Hyderabad,Jun-2019,1262995
Hyderabad,Jul-2019,1094861
Hyderabad,Aug-2019,1121380
Hyderabad,Sep-2019,959930
Hyderabad,Oct-2019,1240643
Hyderabad,Nov-2019,1073665
Hyderabad,Dec-2019,1277569
Jagtial ,Jan-2019,211913
Jagtial ,Feb-2019,215105
Jagtial ,Mar-2019,194090
Jagtial ,Apr-2019,447226
Jagtial ,May-2019,500206
Jagtial ,Jun-2019,235363
Jagtial ,Jul-2019,157419
Jagtial ,Aug-2019,151570
Jagtial ,Sep-2019,157564
Jagtial ,Oct-2019,165070
Jagtial ,Nov-2019,277630
Jagtial ,Dec-2019,372959
Jangaon ,Jan-2019,28750
Jangaon ,Feb-2019,28810
Jangaon ,Mar-2019,27300
Jangaon ,Apr-2019,26160
Jangaon ,May-2019,26740
Jangaon ,Jun-2019,25820
Jangaon ,Jul-2019,24160
Jangaon ,Aug-2019,27800
Jangaon ,Sep-2019,28640
Jangaon ,Oct-2019,27840
Jangaon ,Nov-2019,28410
Jangaon ,Dec-2019,28460
Jayashankar Bhoopalpally,Jan-2019,197430
Jayashankar Bhoopalpally,Feb-2019,33500
Jayashankar Bhoopalpally,Mar-2019,37500
Jayashankar Bhoopalpally,Apr-2019,38500
Jayashankar Bhoopalpally,May-2019,30800
Jayashankar Bhoopalpally,Jun-2019,40500
Jayashankar Bhoopalpally,Jul-2019,45500
Jayashankar Bhoopalpally,Aug-2019,45000
Jayashankar Bhoopalpally,Sep-2019,50500
Jayashankar Bhoopalpally,Oct-2019,46000
Jayashankar Bhoopalpally,Nov-2019,51500
Jayashankar Bhoopalpally,Dec-2019,45800
Jogulamba Gadwal ,Jan-2019,146441
Jogulamba Gadwal ,Feb-2019,481110
Jogulamba Gadwal ,Mar-2019,155013
Jogulamba Gadwal ,Apr-2019,82334
Jogulamba Gadwal ,May-2019,154609
Jogulamba Gadwal ,Jun-2019,155013
Jogulamba Gadwal ,Jul-2019,114951
Jogulamba Gadwal ,Aug-2019,123733
Jogulamba Gadwal ,Sep-2019,131485
Jogulamba Gadwal ,Oct-2019,152898
Jogulamba Gadwal ,Nov-2019,128075
Jogulamba Gadwal ,Dec-2019,182333
Kamareddy ,Jan-2019,42
Kamareddy ,Feb-2019,41
Kamareddy ,Mar-2019,45
Kamareddy ,Apr-2019,41
Kamareddy ,May-2019,46
Kamareddy ,Jun-2019,41
Kamareddy ,Jul-2019,50
Kamareddy ,Aug-2019,50
Kamareddy ,Sep-2019,41
Kamareddy ,Oct-2019,46
Kamareddy ,Nov-2019,46
Kamareddy ,Dec-2019,45
Karimnagar ,Jan-2019,10285
Karimnagar ,Feb-2019,6480
Karimnagar ,Mar-2019,6634
Karimnagar ,Apr-2019,5623
Karimnagar ,May-2019,3393
Karimnagar ,Jun-2019,3871
Karimnagar ,Jul-2019,5192
Karimnagar ,Aug-2019,5480
Karimnagar ,Sep-2019,8735
Karimnagar ,Oct-2019,6799
Karimnagar ,Nov-2019,7101
Karimnagar ,Dec-2019,7898
Khammam,Jan-2019,123550
Khammam,Feb-2019,98471
Khammam,Mar-2019,91340
Khammam,Apr-2019,135920
Khammam,May-2019,130971
Khammam,Jun-2019,127270
Khammam,Jul-2019,103260
Khammam,Aug-2019,111374
Khammam,Sep-2019,133754
Khammam,Oct-2019,128625
Khammam,Nov-2019,104380
Khammam,Dec-2019,124525
Komaram Bheem Asifabad,Jan-2019,2476
Komaram Bheem Asifabad,Feb-2019,1449
Komaram Bheem Asifabad,Mar-2019,1212
Komaram Bheem Asifabad,Apr-2019,663
Komaram Bheem Asifabad,May-2019,493
Komaram Bheem Asifabad,Jun-2019,506
Komaram Bheem Asifabad,Jul-2019,1287
Komaram Bheem Asifabad,Aug-2019,2572
Komaram Bheem Asifabad,Sep-2019,1629
Komaram Bheem Asifabad,Oct-2019,1943
Komaram Bheem Asifabad,Nov-2019,2176
Komaram Bheem Asifabad,Dec-2019,2783
Mahabubabad ,Jan-2019,13480
Mahabubabad ,Feb-2019,13545
Mahabubabad ,Mar-2019,13490
Mahabubabad ,Apr-2019,12980
Mahabubabad ,May-2019,11970
Mahabubabad ,Jun-2019,11460
Mahabubabad ,Jul-2019,13470
Mahabubabad ,Aug-2019,12190
Mahabubabad ,Sep-2019,13210
Mahabubabad ,Oct-2019,12260
Mahabubabad ,Nov-2019,12470
Mahabubabad ,Dec-2019,12360
Mahbubnagar,Jan-2019,168082
Mahbubnagar,Feb-2019,798949
Mahbubnagar,Mar-2019,173658
Mahbubnagar,Apr-2019,183268
Mahbubnagar,May-2019,175202
Mahbubnagar,Jun-2019,175853
Mahbubnagar,Jul-2019,100398
Mahbubnagar,Aug-2019,104787
Mahbubnagar,Sep-2019,141387
