District,Months,Visitors
Adilabad,Jan-2018,320356
Adilabad,Feb-2018,36550
Adilabad,Mar-2018,23011
Adilabad,Apr-2018,14183
Adilabad,May-2018,8197
Adilabad,Jun-2018,12052
Adilabad,Jul-2018,24666
Adilabad,Aug-2018,38939
Adilabad,Sep-2018,25875
Adilabad,Oct-2018,30257
Adilabad,Nov-2018,49181
Adilabad,Dec-2018,61476
Bhadradri Kothagudem ,Jan-2018,421275
Bhadradri Kothagudem ,Feb-2018,240634
Bhadradri Kothagudem ,Mar-2018,421275
Bhadradri Kothagudem ,Apr-2018,341258
Bhadradri Kothagudem ,May-2018,291273
Bhadradri Kothagudem ,Jun-2018,290512
Bhadradri Kothagudem ,Jul-2018,220304
Bhadradri Kothagudem ,Aug-2018,219548
Bhadradri Kothagudem ,Sep-2018,334878
Bhadradri Kothagudem ,Oct-2018,322974
Bhadradri Kothagudem ,Nov-2018,253464
Bhadradri Kothagudem ,Dec-2018,442483
Hyderabad,Jan-2018,1978396
Hyderabad,Feb-2018,1365837
Hyderabad,Mar-2018,1415938
Hyderabad,Apr-2018,1586375
Hyderabad,May-2018,1189492
Hyderabad,Jun-2018,1595067
Hyderabad,Jul-2018,1470042
Hyderabad,Aug-2018,1591470
Hyderabad,Sep-2018,1508086
Hyderabad,Oct-2018,2207478
Hyderabad,Nov-2018,1671320
Hyderabad,Dec-2018,1964150
Jagtial ,Jan-2018,614082
Jagtial ,Feb-2018,349576
Jagtial ,Mar-2018,416716
Jagtial ,Apr-2018,372874
Jagtial ,May-2018,641363
Jagtial ,Jun-2018,182505
Jagtial ,Jul-2018,182473
Jagtial ,Aug-2018,272685
Jagtial ,Sep-2018,273121
Jagtial ,Oct-2018,138206
Jagtial ,Nov-2018,277997
Jagtial ,Dec-2018,231323
Jangaon ,Jan-2018,17180
Jangaon ,Feb-2018,18600
Jangaon ,Mar-2018,17300
Jangaon ,Apr-2018,18100
Jangaon ,May-2018,19660
Jangaon ,Jun-2018,23050
Jangaon ,Jul-2018,26280
Jangaon ,Aug-2018,26020
Jangaon ,Sep-2018,28830
Jangaon ,Oct-2018,29470
Jangaon ,Nov-2018,29570
Jangaon ,Dec-2018,36962
Jayashankar Bhoopalpally,Jan-2018,6519850
Jayashankar Bhoopalpally,Feb-2018,8626250
Jayashankar Bhoopalpally,Mar-2018,146150
Jayashankar Bhoopalpally,Apr-2018,149150
Jayashankar Bhoopalpally,May-2018,152050
Jayashankar Bhoopalpally,Jun-2018,159400
Jayashankar Bhoopalpally,Jul-2018,128550
Jayashankar Bhoopalpally,Aug-2018,184700
Jayashankar Bhoopalpally,Sep-2018,192300
Jayashankar Bhoopalpally,Oct-2018,195400
Jayashankar Bhoopalpally,Nov-2018,196500
Jayashankar Bhoopalpally,Dec-2018,245625
Jogulamba Gadwal ,Jan-2018,146441
Jogulamba Gadwal ,Feb-2018,481110
Jogulamba Gadwal ,Mar-2018,155013
Jogulamba Gadwal ,Apr-2018,138673
Jogulamba Gadwal ,May-2018,131426
Jogulamba Gadwal ,Jun-2018,160182
Jogulamba Gadwal ,Jul-2018,114951
Jogulamba Gadwal ,Aug-2018,123733
Jogulamba Gadwal ,Sep-2018,121710
Jogulamba Gadwal ,Oct-2018,152898
Jogulamba Gadwal ,Nov-2018,128075
Jogulamba Gadwal ,Dec-2018,182333
Kamareddy ,Jan-2018,44
Kamareddy ,Feb-2018,44
Kamareddy ,Mar-2018,45
Kamareddy ,Apr-2018,45
Kamareddy ,May-2018,49
Kamareddy ,Jun-2018,56
Kamareddy ,Jul-2018,48
Kamareddy ,Aug-2018,55
Kamareddy ,Sep-2018,40
Kamareddy ,Oct-2018,62
Kamareddy ,Nov-2018,41
Kamareddy ,Dec-2018,43
Karimnagar ,Jan-2018,13505
Karimnagar ,Feb-2018,9330
Karimnagar ,Mar-2018,7205
Karimnagar ,Apr-2018,5830
Karimnagar ,May-2018,5689
Karimnagar ,Jun-2018,7180
Karimnagar ,Jul-2018,6686
Karimnagar ,Aug-2018,8480
Karimnagar ,Sep-2018,8480
Karimnagar ,Oct-2018,6118
Karimnagar ,Nov-2018,7145
Karimnagar ,Dec-2018,7800
Khammam,Jan-2018,110094
Khammam,Feb-2018,104444
Khammam,Mar-2018,127152
Khammam,Apr-2018,126553
Khammam,May-2018,135189
Khammam,Jun-2018,135988
Khammam,Jul-2018,85932
Khammam,Aug-2018,86309
Khammam,Sep-2018,143465
Khammam,Oct-2018,127645
Khammam,Nov-2018,99070
Khammam,Dec-2018,135600
Komaram Bheem Asifabad,Jan-2018,2863
Komaram Bheem Asifabad,Feb-2018,2736
Komaram Bheem Asifabad,Mar-2018,1826
Komaram Bheem Asifabad,Apr-2018,868
Komaram Bheem Asifabad,May-2018,793
Komaram Bheem Asifabad,Jun-2018,990
Komaram Bheem Asifabad,Jul-2018,1954
Komaram Bheem Asifabad,Aug-2018,2263
Komaram Bheem Asifabad,Sep-2018,1819
Komaram Bheem Asifabad,Oct-2018,2525
Komaram Bheem Asifabad,Nov-2018,1741
Komaram Bheem Asifabad,Dec-2018,2176
Mahabubabad ,Jan-2018,14000
Mahabubabad ,Feb-2018,14230
Mahabubabad ,Mar-2018,13110
Mahabubabad ,Apr-2018,12915
Mahabubabad ,May-2018,12865
Mahabubabad ,Jun-2018,13910
Mahabubabad ,Jul-2018,13970
Mahabubabad ,Aug-2018,13200
Mahabubabad ,Sep-2018,13420
Mahabubabad ,Oct-2018,13550
Mahabubabad ,Nov-2018,13700
Mahabubabad ,Dec-2018,17125
Mahbubnagar,Jan-2018,156153
Mahbubnagar,Feb-2018,788083
Mahbubnagar,Mar-2018,166863
Mahbubnagar,Apr-2018,196061
Mahbubnagar,May-2018,193478
Mahbubnagar,Jun-2018,165553
Mahbubnagar,Jul-2018,161841
Mahbubnagar,Aug-2018,169154
