District,Months,Visitors
Mahbubnagar,Sep-2018,167833
Mahbubnagar,Oct-2018,193152
Mahbubnagar,Nov-2018,295910
Mahbubnagar,Dec-2018,198227
Mancherial,Jan-2018,71955
Mancherial,Feb-2018,38599
Mancherial,Mar-2018,20749
Mancherial,Apr-2018,38483
Mancherial,May-2018,26179
Mancherial,Jun-2018,31667
Mancherial,Jul-2018,27937
Mancherial,Aug-2018,31861
Mancherial,Sep-2018,23141
Mancherial,Oct-2018,30740
Mancherial,Nov-2018,25197
Mancherial,Dec-2018,31496
Medak ,Jan-2018,100000
Medak ,Feb-2018,1000000
Medak ,Mar-2018,600000
Medak ,Apr-2018,200000
Medak ,May-2018,300000
Medak ,Jun-2018,500000
Medak ,Jul-2018,150000
Medak ,Aug-2018,50000
Medak ,Sep-2018,100000
Medak ,Oct-2018,300000
Medak ,Nov-2018,200000
Medak ,Dec-2018,400000
Medchal ,Jan-2018, 
Medchal ,Feb-2018, 
Medchal ,Mar-2018, 
Medchal ,Apr-2018, 
Medchal ,May-2018, 
Medchal ,Jun-2018, 
Medchal ,Jul-2018, 
Medchal ,Aug-2018, 
Medchal ,Sep-2018, 
Medchal ,Oct-2018, 
Medchal ,Nov-2018, 
Medchal ,Dec-2018, 
Nagarkurnool ,Jan-2018,228812
Nagarkurnool ,Feb-2018,286258
Nagarkurnool ,Mar-2018,184508
Nagarkurnool ,Apr-2018,174592
Nagarkurnool ,May-2018,183697
Nagarkurnool ,Jun-2018,180010
Nagarkurnool ,Jul-2018,93450
Nagarkurnool ,Aug-2018,118010
Nagarkurnool ,Sep-2018,118449
Nagarkurnool ,Oct-2018,201050
Nagarkurnool ,Nov-2018,121452
Nagarkurnool ,Dec-2018,198637
Nalgonda,Jan-2018,36205
Nalgonda,Feb-2018,9971
Nalgonda,Mar-2018,9677
Nalgonda,Apr-2018,9779
Nalgonda,May-2018,10241
Nalgonda,Jun-2018,9066
Nalgonda,Jul-2018,9668
Nalgonda,Aug-2018,10135
Nalgonda,Sep-2018,21365
Nalgonda,Oct-2018,22332
Nalgonda,Nov-2018,5422
Nalgonda,Dec-2018,6777
Nirmal,Jan-2018,480241
Nirmal,Feb-2018,335447
Nirmal,Mar-2018,328099
Nirmal,Apr-2018,368645
Nirmal,May-2018,342650
Nirmal,Jun-2018,355197
Nirmal,Jul-2018,335356
Nirmal,Aug-2018,313910
Nirmal,Sep-2018,293859
Nirmal,Oct-2018,373291
Nirmal,Nov-2018,289169
Nirmal,Dec-2018,361461
Nizamabad,Jan-2018,2495
Nizamabad,Feb-2018,7152
Nizamabad,Mar-2018,2903
Nizamabad,Apr-2018,3550
Nizamabad,May-2018,5360
Nizamabad,Jun-2018,1761
Nizamabad,Jul-2018,5882
Nizamabad,Aug-2018,10525
Nizamabad,Sep-2018,475
Nizamabad,Oct-2018,490
Nizamabad,Nov-2018,475
Nizamabad,Dec-2018,355
Peddapalli,Jan-2018,2670
Peddapalli,Feb-2018,2695
Peddapalli,Mar-2018,2325
Peddapalli,Apr-2018,1940
Peddapalli,May-2018,1499
Peddapalli,Jun-2018,1580
Peddapalli,Jul-2018,1580
Peddapalli,Aug-2018,1595
Peddapalli,Sep-2018,1475
Peddapalli,Oct-2018,1545
Peddapalli,Nov-2018,1655
Peddapalli,Dec-2018,1695
Rajanna Sircilla ,Jan-2018,2238074
Rajanna Sircilla ,Feb-2018,1021787
Rajanna Sircilla ,Mar-2018,1022669
Rajanna Sircilla ,Apr-2018,833874
Rajanna Sircilla ,May-2018,1021952
Rajanna Sircilla ,Jun-2018,320886
Rajanna Sircilla ,Jul-2018,937720
Rajanna Sircilla ,Aug-2018,320952
Rajanna Sircilla ,Sep-2018,818693
Rajanna Sircilla ,Oct-2018,506563
Rajanna Sircilla ,Nov-2018,840933
Rajanna Sircilla ,Dec-2018,950128
Ranga Reddy,Jan-2018, 
Ranga Reddy,Feb-2018, 
Ranga Reddy,Mar-2018, 
Ranga Reddy,Apr-2018, 
Ranga Reddy,May-2018, 
Ranga Reddy,Jun-2018, 
Ranga Reddy,Jul-2018, 
Ranga Reddy,Aug-2018, 
Ranga Reddy,Sep-2018, 
Ranga Reddy,Oct-2018, 
Ranga Reddy,Nov-2018, 
Ranga Reddy,Dec-2018, 
Sangareddy ,Jan-2018,254000
Sangareddy ,Feb-2018,540000
Sangareddy ,Mar-2018,158500
Sangareddy ,Apr-2018,162500
Sangareddy ,May-2018,157000
Sangareddy ,Jun-2018,93500
Sangareddy ,Jul-2018,108600
Sangareddy ,Aug-2018,205000
Sangareddy ,Sep-2018,125000
Sangareddy ,Oct-2018,171800
Sangareddy ,Nov-2018,160000
Sangareddy ,Dec-2018,134000
Siddipet,Jan-2018,253000
Siddipet,Feb-2018,44000
Siddipet,Mar-2018,164800
Siddipet,Apr-2018,115000
Siddipet,May-2018,165200
Siddipet,Jun-2018,104300
Siddipet,Jul-2018,54000
Siddipet,Aug-2018,100000
Siddipet,Sep-2018,55000
Siddipet,Oct-2018,43000
Siddipet,Nov-2018,135000
Siddipet,Dec-2018,50000
Suryapet,Jan-2018,
Suryapet,Feb-2018,
Suryapet,Mar-2018,
Suryapet,Apr-2018,
Suryapet,May-2018,
Suryapet,Jun-2018,
Suryapet,Jul-2018,
Suryapet,Aug-2018,
Suryapet,Sep-2018,
Suryapet,Oct-2018,
Suryapet,Nov-2018,
Suryapet,Dec-2018,
Vikarabad,Jan-2018, 
Vikarabad,Feb-2018, 
Vikarabad,Mar-2018, 
Vikarabad,Apr-2018, 
Vikarabad,May-2018, 
Vikarabad,Jun-2018, 
Vikarabad,Jul-2018, 
Vikarabad,Aug-2018, 
Vikarabad,Sep-2018, 
Vikarabad,Oct-2018, 
Vikarabad,Nov-2018, 
Vikarabad,Dec-2018, 
Wanaparthy ,Jan-2018,28131
Wanaparthy ,Feb-2018,22341
Wanaparthy ,Mar-2018,20050
Wanaparthy ,Apr-2018,10550
Wanaparthy ,May-2018,11502
Wanaparthy ,Jun-2018,19092
Wanaparthy ,Jul-2018,32625
Wanaparthy ,Aug-2018,35860
Wanaparthy ,Sep-2018,32002
Wanaparthy ,Oct-2018,21234
Wanaparthy ,Nov-2018,32657
Wanaparthy ,Dec-2018,20556
Warangal (Rural),Jan-2018,25200
Warangal (Rural),Feb-2018,26300
Warangal (Rural),Mar-2018,26200
Warangal (Rural),Apr-2018,21600
Warangal (Rural),May-2018,22100
Warangal (Rural),Jun-2018,23100
Warangal (Rural),Jul-2018,25900
Warangal (Rural),Aug-2018,25700
Warangal (Rural),Sep-2018,25800
Warangal (Rural),Oct-2018,26000
Warangal (Rural),Nov-2018,24050
Warangal (Rural),Dec-2018,30062
Warangal (Urban),Jan-2018,137530
Warangal (Urban),Feb-2018,145750
Warangal (Urban),Mar-2018,140300
Warangal (Urban),Apr-2018,142510
Warangal (Urban),May-2018,143425
Warangal (Urban),Jun-2018,135615
Warangal (Urban),Jul-2018,136560
Warangal (Urban),Aug-2018,136760
Warangal (Urban),Sep-2018,138780
Warangal (Urban),Oct-2018,140948
Warangal (Urban),Nov-2018,144515
Warangal (Urban),Dec-2018,180643
Yadadri Bhongir,Jan-2018,2016000
Yadadri Bhongir,Feb-2018,3073872
Yadadri Bhongir,Mar-2018,2836580
Yadadri Bhongir,Apr-2018,692370
Yadadri Bhongir,May-2018,781842
Yadadri Bhongir,Jun-2018,577570
Yadadri Bhongir,Jul-2018,671156
Yadadri Bhongir,Aug-2018,526445
Yadadri Bhongir,Sep-2018,819350
Yadadri Bhongir,Oct-2018,586475
Yadadri Bhongir,Nov-2018,485208
Yadadri Bhongir,Dec-2018,606510
