District,Months,Visitors
Adilabad,Jan-2016,792136
Adilabad,Feb-2016,937820
Adilabad,Mar-2016,582946
Adilabad,Apr-2016,341948
Adilabad,May-2016,252887
Adilabad,Jun-2016,368237
Adilabad,Jul-2016,447562
Adilabad,Aug-2016,614285
Adilabad,Sep-2016,491279
Adilabad,Oct-2016,94184
Adilabad,Nov-2016,99148
Adilabad,Dec-2016,53125
Bhadradri Kothagudem ,Jan-2016, 
Bhadradri Kothagudem ,Feb-2016, 
Bhadradri Kothagudem ,Mar-2016, 
Bhadradri Kothagudem ,Apr-2016, 
Bhadradri Kothagudem ,May-2016, 
Bhadradri Kothagudem ,Jun-2016, 
Bhadradri Kothagudem ,Jul-2016, 
Bhadradri Kothagudem ,Aug-2016, 
Bhadradri Kothagudem ,Sep-2016, 
Bhadradri Kothagudem ,Oct-2016,310133
Bhadradri Kothagudem ,Nov-2016,252127
Bhadradri Kothagudem ,Dec-2016,326770
Hyderabad,Jan-2016,1122510
Hyderabad,Feb-2016,778748
Hyderabad,Mar-2016,1017794
Hyderabad,Apr-2016,1127738
Hyderabad,May-2016,1287181
Hyderabad,Jun-2016,12032661
Hyderabad,Jul-2016,1096754
Hyderabad,Aug-2016,1061137
Hyderabad,Sep-2016,832987
Hyderabad,Oct-2016,901960
Hyderabad,Nov-2016,909733
Hyderabad,Dec-2016,1225502
Jagtial ,Jan-2016, 
Jagtial ,Feb-2016, 
Jagtial ,Mar-2016, 
Jagtial ,Apr-2016, 
Jagtial ,May-2016, 
Jagtial ,Jun-2016, 
Jagtial ,Jul-2016, 
Jagtial ,Aug-2016, 
Jagtial ,Sep-2016, 
Jagtial ,Oct-2016,201249
Jagtial ,Nov-2016,214534
Jagtial ,Dec-2016,207294
Jangaon ,Jan-2016, 
Jangaon ,Feb-2016, 
Jangaon ,Mar-2016, 
Jangaon ,Apr-2016, 
Jangaon ,May-2016, 
Jangaon ,Jun-2016, 
Jangaon ,Jul-2016, 
Jangaon ,Aug-2016, 
Jangaon ,Sep-2016, 
Jangaon ,Oct-2016,14770
Jangaon ,Nov-2016,13210
Jangaon ,Dec-2016,12680
Jayashankar Bhoopalpally,Jan-2016, 
Jayashankar Bhoopalpally,Feb-2016, 
Jayashankar Bhoopalpally,Mar-2016, 
Jayashankar Bhoopalpally,Apr-2016, 
Jayashankar Bhoopalpally,May-2016, 
Jayashankar Bhoopalpally,Jun-2016, 
Jayashankar Bhoopalpally,Jul-2016, 
Jayashankar Bhoopalpally,Aug-2016, 
Jayashankar Bhoopalpally,Sep-2016, 
Jayashankar Bhoopalpally,Oct-2016,76360
Jayashankar Bhoopalpally,Nov-2016,81580
