District,Months,Visitors
Jayashankar Bhoopalpally,Dec-2016,85460
Jogulamba Gadwal ,Jan-2016, 
Jogulamba Gadwal ,Feb-2016, 
Jogulamba Gadwal ,Mar-2016, 
Jogulamba Gadwal ,Apr-2016, 
Jogulamba Gadwal ,May-2016, 
Jogulamba Gadwal ,Jun-2016, 
Jogulamba Gadwal ,Jul-2016, 
Jogulamba Gadwal ,Aug-2016, 
Jogulamba Gadwal ,Sep-2016, 
Jogulamba Gadwal ,Oct-2016,152898
Jogulamba Gadwal ,Nov-2016,188170
Jogulamba Gadwal ,Dec-2016,182333
Kamareddy ,Jan-2016, 
Kamareddy ,Feb-2016, 
Kamareddy ,Mar-2016, 
Kamareddy ,Apr-2016, 
Kamareddy ,May-2016, 
Kamareddy ,Jun-2016, 
Kamareddy ,Jul-2016, 
Kamareddy ,Aug-2016, 
Kamareddy ,Sep-2016, 
Kamareddy ,Oct-2016,47
Kamareddy ,Nov-2016,38
Kamareddy ,Dec-2016,42
Karimnagar ,Jan-2016,1984442
Karimnagar ,Feb-2016,779960
Karimnagar ,Mar-2016,1018399
Karimnagar ,Apr-2016,956959
Karimnagar ,May-2016,1095642
Karimnagar ,Jun-2016,914746
Karimnagar ,Jul-2016,401047
Karimnagar ,Aug-2016,1018399
Karimnagar ,Sep-2016,956959
Karimnagar ,Oct-2016,13675
Karimnagar ,Nov-2016,13350
Karimnagar ,Dec-2016,13890
Khammam,Jan-2016,651827
Khammam,Feb-2016,407533
Khammam,Mar-2016,458527
Khammam,Apr-2016,971622
Khammam,May-2016,433994
Khammam,Jun-2016,445862
Khammam,Jul-2016,414963
Khammam,Aug-2016,503654
Khammam,Sep-2016,368437
Khammam,Oct-2016,121575
Khammam,Nov-2016,110634
Khammam,Dec-2016,116403
Komaram Bheem Asifabad,Jan-2016, 
Komaram Bheem Asifabad,Feb-2016, 
Komaram Bheem Asifabad,Mar-2016, 
Komaram Bheem Asifabad,Apr-2016, 
Komaram Bheem Asifabad,May-2016, 
Komaram Bheem Asifabad,Jun-2016, 
Komaram Bheem Asifabad,Jul-2016, 
Komaram Bheem Asifabad,Aug-2016, 
Komaram Bheem Asifabad,Sep-2016, 
Komaram Bheem Asifabad,Oct-2016,0
Komaram Bheem Asifabad,Nov-2016,0
Komaram Bheem Asifabad,Dec-2016,0
Mahabubabad ,Jan-2016, 
Mahabubabad ,Feb-2016, 
Mahabubabad ,Mar-2016, 
Mahabubabad ,Apr-2016, 
Mahabubabad ,May-2016, 
Mahabubabad ,Jun-2016, 
Mahabubabad ,Jul-2016, 
Mahabubabad ,Aug-2016, 
Mahabubabad ,Sep-2016, 
Mahabubabad ,Oct-2016,13032
Mahabubabad ,Nov-2016,114015
Mahabubabad ,Dec-2016,12955
Mahbubnagar,Jan-2016,577071
Mahbubnagar,Feb-2016,1312068
Mahbubnagar,Mar-2016,1731983
Mahbubnagar,Apr-2016,622432
Mahbubnagar,May-2016,571898
Mahbubnagar,Jun-2016,561006
Mahbubnagar,Jul-2016,562322
Mahbubnagar,Aug-2016,1133105
Mahbubnagar,Sep-2016,567712
Mahbubnagar,Oct-2016,198592
Mahbubnagar,Nov-2016,256375
Mahbubnagar,Dec-2016,210202
Mancherial,Jan-2016, 
Mancherial,Feb-2016, 
Mancherial,Mar-2016, 
Mancherial,Apr-2016, 
Mancherial,May-2016, 
Mancherial,Jun-2016, 
Mancherial,Jul-2016, 
Mancherial,Aug-2016, 
Mancherial,Sep-2016, 
Mancherial,Oct-2016,3124
Mancherial,Nov-2016,2255
Mancherial,Dec-2016,2423
Medak ,Jan-2016,92600
Medak ,Feb-2016,215000
Medak ,Mar-2016,1318000
Medak ,Apr-2016,300000
Medak ,May-2016,198000
Medak ,Jun-2016,166700
Medak ,Jul-2016,153300
Medak ,Aug-2016,216100
Medak ,Sep-2016,132600
Medak ,Oct-2016,15600
Medak ,Nov-2016,132300
Medak ,Dec-2016,523000
Medchal ,Jan-2016, 
Medchal ,Feb-2016, 
Medchal ,Mar-2016, 
Medchal ,Apr-2016, 
Medchal ,May-2016, 
Medchal ,Jun-2016, 
Medchal ,Jul-2016, 
Medchal ,Aug-2016, 
Medchal ,Sep-2016, 
Medchal ,Oct-2016, 
Medchal ,Nov-2016, 
Medchal ,Dec-2016, 
Nagarkurnool ,Jan-2016, 
Nagarkurnool ,Feb-2016, 
Nagarkurnool ,Mar-2016, 
Nagarkurnool ,Apr-2016, 
Nagarkurnool ,May-2016, 
Nagarkurnool ,Jun-2016, 
Nagarkurnool ,Jul-2016, 
Nagarkurnool ,Aug-2016, 
Nagarkurnool ,Sep-2016, 
Nagarkurnool ,Oct-2016,201050
Nagarkurnool ,Nov-2016,188786
Nagarkurnool ,Dec-2016,198637
Nalgonda,Jan-2016,566515
Nalgonda,Feb-2016,539467
Nalgonda,Mar-2016,619462
Nalgonda,Apr-2016,601253
Nalgonda,May-2016,628872
Nalgonda,Jun-2016,551239
Nalgonda,Jul-2016,582820
Nalgonda,Aug-2016,988102
Nalgonda,Sep-2016,742402
Nalgonda,Oct-2016,3508
Nalgonda,Nov-2016,21046
Nalgonda,Dec-2016,13775
Nirmal,Jan-2016, 
Nirmal,Feb-2016, 
Nirmal,Mar-2016, 
Nirmal,Apr-2016, 
Nirmal,May-2016, 
Nirmal,Jun-2016, 
Nirmal,Jul-2016, 
Nirmal,Aug-2016, 
Nirmal,Sep-2016, 
Nirmal,Oct-2016,475955
Nirmal,Nov-2016,201388
Nirmal,Dec-2016,239267
Nizamabad,Jan-2016,576
Nizamabad,Feb-2016,869
Nizamabad,Mar-2016,408
Nizamabad,Apr-2016,476
Nizamabad,May-2016,554
Nizamabad,Jun-2016,367
Nizamabad,Jul-2016,644
Nizamabad,Aug-2016,589
Nizamabad,Sep-2016,553
Nizamabad,Oct-2016,434
Nizamabad,Nov-2016,617
Nizamabad,Dec-2016,355
Peddapalli,Jan-2016, 
Peddapalli,Feb-2016, 
Peddapalli,Mar-2016, 
Peddapalli,Apr-2016, 
Peddapalli,May-2016, 
Peddapalli,Jun-2016, 
Peddapalli,Jul-2016, 
Peddapalli,Aug-2016, 
Peddapalli,Sep-2016, 
Peddapalli,Oct-2016,950
Peddapalli,Nov-2016,1145
Peddapalli,Dec-2016,1149
Rajanna Sircilla ,Jan-2016, 
Rajanna Sircilla ,Feb-2016, 
Rajanna Sircilla ,Mar-2016, 
Rajanna Sircilla ,Apr-2016, 
Rajanna Sircilla ,May-2016, 
Rajanna Sircilla ,Jun-2016, 
Rajanna Sircilla ,Jul-2016, 
Rajanna Sircilla ,Aug-2016, 
Rajanna Sircilla ,Sep-2016, 
Rajanna Sircilla ,Oct-2016,534484
Rajanna Sircilla ,Nov-2016,864077
Rajanna Sircilla ,Dec-2016,778240
Ranga Reddy,Jan-2016, 
Ranga Reddy,Feb-2016, 
Ranga Reddy,Mar-2016, 
Ranga Reddy,Apr-2016, 
Ranga Reddy,May-2016, 
Ranga Reddy,Jun-2016, 
Ranga Reddy,Jul-2016, 
Ranga Reddy,Aug-2016, 
Ranga Reddy,Sep-2016, 
Ranga Reddy,Oct-2016, 
Ranga Reddy,Nov-2016, 
Ranga Reddy,Dec-2016, 
Sangareddy ,Jan-2016, 
Sangareddy ,Feb-2016, 
Sangareddy ,Mar-2016, 
Sangareddy ,Apr-2016, 
Sangareddy ,May-2016, 
Sangareddy ,Jun-2016, 
Sangareddy ,Jul-2016, 
Sangareddy ,Aug-2016, 
Sangareddy ,Sep-2016, 
Sangareddy ,Oct-2016,274000
Sangareddy ,Nov-2016,349000
Sangareddy ,Dec-2016,155000
Siddipet,Jan-2016, 
Siddipet,Feb-2016, 
Siddipet,Mar-2016, 
Siddipet,Apr-2016, 
Siddipet,May-2016, 
Siddipet,Jun-2016, 
Siddipet,Jul-2016, 
Siddipet,Aug-2016, 
Siddipet,Sep-2016, 
Siddipet,Oct-2016,123500
Siddipet,Nov-2016,154400
Siddipet,Dec-2016,80500
Suryapet,Jan-2016, 
Suryapet,Feb-2016, 
Suryapet,Mar-2016, 
Suryapet,Apr-2016, 
Suryapet,May-2016, 
Suryapet,Jun-2016, 
Suryapet,Jul-2016, 
Suryapet,Aug-2016, 
Suryapet,Sep-2016, 
Suryapet,Oct-2016,0
Suryapet,Nov-2016,0
Suryapet,Dec-2016,0
Vikarabad,Jan-2016, 
Vikarabad,Feb-2016, 
Vikarabad,Mar-2016, 
Vikarabad,Apr-2016, 
Vikarabad,May-2016, 
Vikarabad,Jun-2016, 
Vikarabad,Jul-2016, 
Vikarabad,Aug-2016, 
Vikarabad,Sep-2016, 
Vikarabad,Oct-2016, 
Vikarabad,Nov-2016, 
Vikarabad,Dec-2016, 
Wanaparthy ,Jan-2016, 
Wanaparthy ,Feb-2016, 
Wanaparthy ,Mar-2016, 
Wanaparthy ,Apr-2016, 
Wanaparthy ,May-2016, 
Wanaparthy ,Jun-2016, 
Wanaparthy ,Jul-2016, 
Wanaparthy ,Aug-2016, 
Wanaparthy ,Sep-2016, 
Wanaparthy ,Oct-2016,21234
Wanaparthy ,Nov-2016,18348
Wanaparthy ,Dec-2016,20556
Warangal (Rural),Jan-2016, 
Warangal (Rural),Feb-2016, 
Warangal (Rural),Mar-2016, 
Warangal (Rural),Apr-2016, 
Warangal (Rural),May-2016, 
Warangal (Rural),Jun-2016, 
Warangal (Rural),Jul-2016, 
Warangal (Rural),Aug-2016, 
Warangal (Rural),Sep-2016, 
Warangal (Rural),Oct-2016,8200
Warangal (Rural),Nov-2016,6050
Warangal (Rural),Dec-2016,5150
Warangal (Urban),Jan-2016,1985815
Warangal (Urban),Feb-2016,20703778
Warangal (Urban),Mar-2016,568397
Warangal (Urban),Apr-2016,317643
Warangal (Urban),May-2016,373788
Warangal (Urban),Jun-2016,365332
Warangal (Urban),Jul-2016,340320
Warangal (Urban),Aug-2016,368755
Warangal (Urban),Sep-2016,379210
Warangal (Urban),Oct-2016,128247
Warangal (Urban),Nov-2016,129250
Warangal (Urban),Dec-2016,127500
Yadadri Bhongir,Jan-2016, 
Yadadri Bhongir,Feb-2016, 
Yadadri Bhongir,Mar-2016, 
Yadadri Bhongir,Apr-2016, 
Yadadri Bhongir,May-2016, 
Yadadri Bhongir,Jun-2016, 
Yadadri Bhongir,Jul-2016, 
Yadadri Bhongir,Aug-2016, 
Yadadri Bhongir,Sep-2016, 
Yadadri Bhongir,Oct-2016,584800
Yadadri Bhongir,Nov-2016,681000
Yadadri Bhongir,Dec-2016,462800
