District,Months,Visitors
Adilabad,Jan-2020,621850
Adilabad,Feb-2020,29421
Adilabad,Mar-2020,9430
Adilabad,Apr-2020,
Adilabad,May-2020,
Adilabad,Jun-2020,1909
Adilabad,Jul-2020,549
Adilabad,Aug-2020,654
Adilabad,Sep-2020,3978
Adilabad,Oct-2020,15128
Adilabad,Nov-2020,27525
Adilabad,Dec-2020,61403
Bhadradri Kothagudem ,Jan-2020,269310
Bhadradri Kothagudem ,Feb-2020,238140
Bhadradri Kothagudem ,Mar-2020,79871
Bhadradri Kothagudem ,Apr-2020,
Bhadradri Kothagudem ,May-2020,
Bhadradri Kothagudem ,Jun-2020,15399
Bhadradri Kothagudem ,Jul-2020,15130
Bhadradri Kothagudem ,Aug-2020,26350
Bhadradri Kothagudem ,Sep-2020,30957
Bhadradri Kothagudem ,Oct-2020,49203
Bhadradri Kothagudem ,Nov-2020,76900
Bhadradri Kothagudem ,Dec-2020,80842
Hyderabad,Jan-2020,1157153
Hyderabad,Feb-2020,868641
Hyderabad,Mar-2020,321650
Hyderabad,Apr-2020,
Hyderabad,May-2020,
Hyderabad,Jun-2020,
Hyderabad,Jul-2020,
Hyderabad,Aug-2020,
Hyderabad,Sep-2020,21861
Hyderabad,Oct-2020,167510
Hyderabad,Nov-2020,272276
Hyderabad,Dec-2020,442895
Jagtial ,Jan-2020,340174
Jagtial ,Feb-2020,186484
Jagtial ,Mar-2020,347014
Jagtial ,Apr-2020,
Jagtial ,May-2020,
Jagtial ,Jun-2020,14228
Jagtial ,Jul-2020,41752
Jagtial ,Aug-2020,34496
Jagtial ,Sep-2020,83012
Jagtial ,Oct-2020,83004
Jagtial ,Nov-2020,154438
Jagtial ,Dec-2020,155757
Jangaon ,Jan-2020,28150
Jangaon ,Feb-2020,26390
Jangaon ,Mar-2020,21430
Jangaon ,Apr-2020,
Jangaon ,May-2020,
Jangaon ,Jun-2020,
Jangaon ,Jul-2020,2600
Jangaon ,Aug-2020,2750
Jangaon ,Sep-2020,2700
Jangaon ,Oct-2020,3050
Jangaon ,Nov-2020,12070
Jangaon ,Dec-2020,11860
Jayashankar Bhoopalpally,Jan-2020,50500
Jayashankar Bhoopalpally,Feb-2020,59000
Jayashankar Bhoopalpally,Mar-2020,34200
Jayashankar Bhoopalpally,Apr-2020,
Jayashankar Bhoopalpally,May-2020,
Jayashankar Bhoopalpally,Jun-2020,
Jayashankar Bhoopalpally,Jul-2020,5600
Jayashankar Bhoopalpally,Aug-2020,7000
Jayashankar Bhoopalpally,Sep-2020,7600
Jayashankar Bhoopalpally,Oct-2020,8000
Jayashankar Bhoopalpally,Nov-2020,15000
Jayashankar Bhoopalpally,Dec-2020,15200
Jogulamba Gadwal ,Jan-2020,146441
Jogulamba Gadwal ,Feb-2020,481110
Jogulamba Gadwal ,Mar-2020,24013
Jogulamba Gadwal ,Apr-2020,
Jogulamba Gadwal ,May-2020,
Jogulamba Gadwal ,Jun-2020,26013
Jogulamba Gadwal ,Jul-2020,88182
Jogulamba Gadwal ,Aug-2020,106925
Jogulamba Gadwal ,Sep-2020,131485
Jogulamba Gadwal ,Oct-2020,116753
Jogulamba Gadwal ,Nov-2020,228325
Jogulamba Gadwal ,Dec-2020,184380
Kamareddy ,Jan-2020,45
Kamareddy ,Feb-2020,42
Kamareddy ,Mar-2020,30
Kamareddy ,Apr-2020,
Kamareddy ,May-2020,
Kamareddy ,Jun-2020,
Kamareddy ,Jul-2020,38
Kamareddy ,Aug-2020,42
Kamareddy ,Sep-2020,55
Kamareddy ,Oct-2020,39
Kamareddy ,Nov-2020,46
Kamareddy ,Dec-2020,48
Karimnagar ,Jan-2020,12057
Karimnagar ,Feb-2020,8359
Karimnagar ,Mar-2020,6100
Karimnagar ,Apr-2020,
Karimnagar ,May-2020,
Karimnagar ,Jun-2020,540
Karimnagar ,Jul-2020,850
Karimnagar ,Aug-2020,2500
Karimnagar ,Sep-2020,2250
Karimnagar ,Oct-2020,3258
Karimnagar ,Nov-2020,4100
Karimnagar ,Dec-2020,4200
Khammam,Jan-2020,114752
Khammam,Feb-2020,114417
Khammam,Mar-2020,57137
Khammam,Apr-2020,
Khammam,May-2020,
Khammam,Jun-2020,12806
Khammam,Jul-2020,9104
Khammam,Aug-2020,7942
Khammam,Sep-2020,9078
Khammam,Oct-2020,27858
Khammam,Nov-2020,40647
Khammam,Dec-2020,37084
Komaram Bheem Asifabad,Jan-2020,2463
Komaram Bheem Asifabad,Feb-2020,1593
Komaram Bheem Asifabad,Mar-2020,812
Komaram Bheem Asifabad,Apr-2020,
Komaram Bheem Asifabad,May-2020,
Komaram Bheem Asifabad,Jun-2020,60
Komaram Bheem Asifabad,Jul-2020,56
Komaram Bheem Asifabad,Aug-2020,55
Komaram Bheem Asifabad,Sep-2020,165
Komaram Bheem Asifabad,Oct-2020,533
Komaram Bheem Asifabad,Nov-2020,637
Komaram Bheem Asifabad,Dec-2020,649
Mahabubabad ,Jan-2020,12290
Mahabubabad ,Feb-2020,12180
Mahabubabad ,Mar-2020,8300
Mahabubabad ,Apr-2020,
Mahabubabad ,May-2020,
Mahabubabad ,Jun-2020,
Mahabubabad ,Jul-2020,1400
Mahabubabad ,Aug-2020,1800
Mahabubabad ,Sep-2020,1950
Mahabubabad ,Oct-2020,2200
Mahabubabad ,Nov-2020,3450
Mahabubabad ,Dec-2020,3370
