District,Months,Visitors
Mahbubnagar,Jan-2020,122530
Mahbubnagar,Feb-2020,552303
Mahbubnagar,Mar-2020,25577
Mahbubnagar,Apr-2020,
Mahbubnagar,May-2020,
Mahbubnagar,Jun-2020,20956
Mahbubnagar,Jul-2020,60255
Mahbubnagar,Aug-2020,73928
Mahbubnagar,Sep-2020,135984
Mahbubnagar,Oct-2020,94083
Mahbubnagar,Nov-2020,98683
Mahbubnagar,Dec-2020,111514
Mancherial,Jan-2020,25661
Mancherial,Feb-2020,41809
Mancherial,Mar-2020,9855
Mancherial,Apr-2020,
Mancherial,May-2020,
Mancherial,Jun-2020,210
Mancherial,Jul-2020,290
Mancherial,Aug-2020,302
Mancherial,Sep-2020,2758
Mancherial,Oct-2020,4745
Mancherial,Nov-2020,6717
Mancherial,Dec-2020,10439
Medak ,Jan-2020,286340
Medak ,Feb-2020,818750
Medak ,Mar-2020,288800
Medak ,Apr-2020,
Medak ,May-2020,
Medak ,Jun-2020,5300
Medak ,Jul-2020,4325
Medak ,Aug-2020,15380
Medak ,Sep-2020,15880
Medak ,Oct-2020,17380
Medak ,Nov-2020,45000
Medak ,Dec-2020,55000
Medchal ,Jan-2020, 
Medchal ,Feb-2020, 
Medchal ,Mar-2020, 
Medchal ,Apr-2020, 
Medchal ,May-2020, 
Medchal ,Jun-2020, 
Medchal ,Jul-2020, 
Medchal ,Aug-2020, 
Medchal ,Sep-2020, 
Medchal ,Oct-2020, 
Medchal ,Nov-2020, 
Medchal ,Dec-2020, 
Mulugu,Jan-2020,3653000
Mulugu,Feb-2020,9157200
Mulugu,Mar-2020,118500
Mulugu,Apr-2020,
Mulugu,May-2020,
Mulugu,Jun-2020,
Mulugu,Jul-2020,4550
Mulugu,Aug-2020,8300
Mulugu,Sep-2020,11300
Mulugu,Oct-2020,17600
Mulugu,Nov-2020,57200
Mulugu,Dec-2020,60900
Nagarkurnool ,Jan-2020,228812
Nagarkurnool ,Feb-2020,286258
Nagarkurnool ,Mar-2020,32333
Nagarkurnool ,Apr-2020,
Nagarkurnool ,May-2020,
Nagarkurnool ,Jun-2020,34508
Nagarkurnool ,Jul-2020,66655
Nagarkurnool ,Aug-2020,80155
Nagarkurnool ,Sep-2020,175712
Nagarkurnool ,Oct-2020,95788
Nagarkurnool ,Nov-2020,77869
Nagarkurnool ,Dec-2020,85280
Nalgonda,Jan-2020,10127
Nalgonda,Feb-2020,9154
Nalgonda,Mar-2020,772
Nalgonda,Apr-2020,
Nalgonda,May-2020,
Nalgonda,Jun-2020,218
Nalgonda,Jul-2020,224
Nalgonda,Aug-2020,558
Nalgonda,Sep-2020,2480
Nalgonda,Oct-2020,8541
Nalgonda,Nov-2020,6242
Nalgonda,Dec-2020,8514
Narayanapet,Jan-2020,47272
Narayanapet,Feb-2020,244657
Narayanapet,Mar-2020,21907
Narayanapet,Apr-2020,
Narayanapet,May-2020,
Narayanapet,Jun-2020,20907
Narayanapet,Jul-2020,39820
Narayanapet,Aug-2020,34777
Narayanapet,Sep-2020,62841
Narayanapet,Oct-2020,52309
Narayanapet,Nov-2020,49597
Narayanapet,Dec-2020,56031
Nirmal,Jan-2020,368292
Nirmal,Feb-2020,299646
Nirmal,Mar-2020,253116
Nirmal,Apr-2020,
Nirmal,May-2020,
Nirmal,Jun-2020,5040
Nirmal,Jul-2020,9212
Nirmal,Aug-2020,10336
Nirmal,Sep-2020,13377
Nirmal,Oct-2020,28586
Nirmal,Nov-2020,73126
Nirmal,Dec-2020,110808
Nizamabad,Jan-2020,7540
Nizamabad,Feb-2020,6400
Nizamabad,Mar-2020,6750
Nizamabad,Apr-2020,
Nizamabad,May-2020,
Nizamabad,Jun-2020,
Nizamabad,Jul-2020,1620
Nizamabad,Aug-2020,2020
Nizamabad,Sep-2020,10050
Nizamabad,Oct-2020,6310
Nizamabad,Nov-2020,10900
Nizamabad,Dec-2020,40400
Peddapalli,Jan-2020,2945
Peddapalli,Feb-2020,2315
Peddapalli,Mar-2020,1450
Peddapalli,Apr-2020,
Peddapalli,May-2020,
Peddapalli,Jun-2020,445
Peddapalli,Jul-2020,250
Peddapalli,Aug-2020,1250
Peddapalli,Sep-2020,800
Peddapalli,Oct-2020,600
Peddapalli,Nov-2020,650
Peddapalli,Dec-2020,1105
Rajanna Sircilla ,Jan-2020,2298291
Rajanna Sircilla ,Feb-2020,963871
Rajanna Sircilla ,Mar-2020,885559
Rajanna Sircilla ,Apr-2020,
Rajanna Sircilla ,May-2020,
Rajanna Sircilla ,Jun-2020,76026
Rajanna Sircilla ,Jul-2020,60636
Rajanna Sircilla ,Aug-2020,110783
Rajanna Sircilla ,Sep-2020,121976
Rajanna Sircilla ,Oct-2020,181929
Rajanna Sircilla ,Nov-2020,391170
Rajanna Sircilla ,Dec-2020,535298
Ranga Reddy,Jan-2020, 
Ranga Reddy,Feb-2020, 
Ranga Reddy,Mar-2020, 
Ranga Reddy,Apr-2020, 
Ranga Reddy,May-2020, 
Ranga Reddy,Jun-2020, 
Ranga Reddy,Jul-2020, 
Ranga Reddy,Aug-2020, 
Ranga Reddy,Sep-2020, 
Ranga Reddy,Oct-2020, 
Ranga Reddy,Nov-2020, 
Ranga Reddy,Dec-2020, 
Sangareddy ,Jan-2020,213000
Sangareddy ,Feb-2020,755000
Sangareddy ,Mar-2020,235000
Sangareddy ,Apr-2020,
Sangareddy ,May-2020,
Sangareddy ,Jun-2020,9500
Sangareddy ,Jul-2020,27400
Sangareddy ,Aug-2020,45400
Sangareddy ,Sep-2020,47900
Sangareddy ,Oct-2020,55400
Sangareddy ,Nov-2020,149000
Sangareddy ,Dec-2020,167000
Siddipet,Jan-2020,473350
Siddipet,Feb-2020,204885
Siddipet,Mar-2020,123000
Siddipet,Apr-2020,
Siddipet,May-2020,
Siddipet,Jun-2020,19846
Siddipet,Jul-2020,23864
Siddipet,Aug-2020,27307
Siddipet,Sep-2020,30980
Siddipet,Oct-2020,73367
Siddipet,Nov-2020,72049
Siddipet,Dec-2020,173000
Suryapet,Jan-2020, 
Suryapet,Feb-2020, 
Suryapet,Mar-2020, 
Suryapet,Apr-2020, 
Suryapet,May-2020, 
Suryapet,Jun-2020, 
Suryapet,Jul-2020, 
Suryapet,Aug-2020, 
Suryapet,Sep-2020, 
Suryapet,Oct-2020, 
Suryapet,Nov-2020, 
Suryapet,Dec-2020, 
Vikarabad,Jan-2020, 
Vikarabad,Feb-2020, 
Vikarabad,Mar-2020, 
Vikarabad,Apr-2020, 
Vikarabad,May-2020, 
Vikarabad,Jun-2020, 
Vikarabad,Jul-2020, 
Vikarabad,Aug-2020, 
Vikarabad,Sep-2020, 
Vikarabad,Oct-2020, 
Vikarabad,Nov-2020, 
Vikarabad,Dec-2020, 
Wanaparthy ,Jan-2020,28131
Wanaparthy ,Feb-2020,22342
Wanaparthy ,Mar-2020,7050
Wanaparthy ,Apr-2020,
Wanaparthy ,May-2020,
Wanaparthy ,Jun-2020,4050
Wanaparthy ,Jul-2020,17092
Wanaparthy ,Aug-2020,30860
Wanaparthy ,Sep-2020,21375
Wanaparthy ,Oct-2020,29683
Wanaparthy ,Nov-2020,29036
Wanaparthy ,Dec-2020,27057
Warangal (Rural),Jan-2020,31550
Warangal (Rural),Feb-2020,31050
Warangal (Rural),Mar-2020,26050
Warangal (Rural),Apr-2020,
Warangal (Rural),May-2020,
Warangal (Rural),Jun-2020,
Warangal (Rural),Jul-2020,560
Warangal (Rural),Aug-2020,870
Warangal (Rural),Sep-2020,1550
Warangal (Rural),Oct-2020,2060
Warangal (Rural),Nov-2020,7550
Warangal (Rural),Dec-2020,7530
Warangal (Urban),Jan-2020,157630
Warangal (Urban),Feb-2020,157950
Warangal (Urban),Mar-2020,102520
Warangal (Urban),Apr-2020,
Warangal (Urban),May-2020,
Warangal (Urban),Jun-2020,
Warangal (Urban),Jul-2020,7300
Warangal (Urban),Aug-2020,9150
Warangal (Urban),Sep-2020,12050
Warangal (Urban),Oct-2020,18350
Warangal (Urban),Nov-2020,91120
Warangal (Urban),Dec-2020,92455
Yadadri Bhongir,Jan-2020,493002
Yadadri Bhongir,Feb-2020,527311
Yadadri Bhongir,Mar-2020,125380
Yadadri Bhongir,Apr-2020,
Yadadri Bhongir,May-2020,
Yadadri Bhongir,Jun-2020,76480
Yadadri Bhongir,Jul-2020,25375
Yadadri Bhongir,Aug-2020,110587
Yadadri Bhongir,Sep-2020,110595
Yadadri Bhongir,Oct-2020,481320
Yadadri Bhongir,Nov-2020,381150
Yadadri Bhongir,Dec-2020,321254
