District,Months,Visitors
Adilabad,Jan-2017,318799
Adilabad,Feb-2017,83316
Adilabad,Mar-2017,27508
Adilabad,Apr-2017,13946
Adilabad,May-2017,11752
Adilabad,Jun-2017,26859
Adilabad,Jul-2017,52386
Adilabad,Aug-2017,34876
Adilabad,Sep-2017,42699
Adilabad,Oct-2017,41666
Adilabad,Nov-2017,117322
Adilabad,Dec-2017,54251
Bhadradri Kothagudem ,Jan-2017,302315
Bhadradri Kothagudem ,Feb-2017,251359
Bhadradri Kothagudem ,Mar-2017,243943
Bhadradri Kothagudem ,Apr-2017,667459
Bhadradri Kothagudem ,May-2017,311626
Bhadradri Kothagudem ,Jun-2017,351742
Bhadradri Kothagudem ,Jul-2017,258114
Bhadradri Kothagudem ,Aug-2017,316438
Bhadradri Kothagudem ,Sep-2017,381784
Bhadradri Kothagudem ,Oct-2017,334504
Bhadradri Kothagudem ,Nov-2017,281515
Bhadradri Kothagudem ,Dec-2017,393518
Hyderabad,Jan-2017,1924695
Hyderabad,Feb-2017,1886698
Hyderabad,Mar-2017,1783903
Hyderabad,Apr-2017,2366793
Hyderabad,May-2017,2266793
Hyderabad,Jun-2017,2007060
Hyderabad,Jul-2017,1890870
Hyderabad,Aug-2017,1976980
Hyderabad,Sep-2017,2011280
Hyderabad,Oct-2017,2202316
Hyderabad,Nov-2017,1971438
Hyderabad,Dec-2017,4871416
Jagtial ,Jan-2017,174477
Jagtial ,Feb-2017,159659
Jagtial ,Mar-2017,323658
Jagtial ,Apr-2017,330540
Jagtial ,May-2017,468038
Jagtial ,Jun-2017,418103
Jagtial ,Jul-2017,247254
Jagtial ,Aug-2017,386458
Jagtial ,Sep-2017,143102
Jagtial ,Oct-2017,248504
Jagtial ,Nov-2017,348042
Jagtial ,Dec-2017,393566
Jangaon ,Jan-2017,12280
Jangaon ,Feb-2017,12610
Jangaon ,Mar-2017,8450
Jangaon ,Apr-2017,9788
Jangaon ,May-2017,12130
Jangaon ,Jun-2017,13750
Jangaon ,Jul-2017,16050
Jangaon ,Aug-2017,15680
Jangaon ,Sep-2017,15600
Jangaon ,Oct-2017,16130
Jangaon ,Nov-2017,16360
Jangaon ,Dec-2017,16880
Jayashankar Bhoopalpally,Jan-2017,96560
Jayashankar Bhoopalpally,Feb-2017,96850
Jayashankar Bhoopalpally,Mar-2017,81400
Jayashankar Bhoopalpally,Apr-2017,90700
Jayashankar Bhoopalpally,May-2017,91150
Jayashankar Bhoopalpally,Jun-2017,93650
Jayashankar Bhoopalpally,Jul-2017,94700
Jayashankar Bhoopalpally,Aug-2017,118350
Jayashankar Bhoopalpally,Sep-2017,112600
Jayashankar Bhoopalpally,Oct-2017,115250
Jayashankar Bhoopalpally,Nov-2017,116800
Jayashankar Bhoopalpally,Dec-2017,723000
Jogulamba Gadwal ,Jan-2017,214887
Jogulamba Gadwal ,Feb-2017,481110
Jogulamba Gadwal ,Mar-2017,155013
Jogulamba Gadwal ,Apr-2017,131426
Jogulamba Gadwal ,May-2017,131426
Jogulamba Gadwal ,Jun-2017,160182
Jogulamba Gadwal ,Jul-2017,160182
Jogulamba Gadwal ,Aug-2017,131485
Jogulamba Gadwal ,Sep-2017,123733
Jogulamba Gadwal ,Oct-2017,152898
Jogulamba Gadwal ,Nov-2017,188170
Jogulamba Gadwal ,Dec-2017,214887
Kamareddy ,Jan-2017,58
Kamareddy ,Feb-2017,50
Kamareddy ,Mar-2017,41
Kamareddy ,Apr-2017,46
Kamareddy ,May-2017,60
Kamareddy ,Jun-2017,41
Kamareddy ,Jul-2017,41
Kamareddy ,Aug-2017,40
Kamareddy ,Sep-2017,41
Kamareddy ,Oct-2017,38
Kamareddy ,Nov-2017,43
Kamareddy ,Dec-2017,41
Karimnagar ,Jan-2017,14425
Karimnagar ,Feb-2017,10845
Karimnagar ,Mar-2017,9625
Karimnagar ,Apr-2017,8630
Karimnagar ,May-2017,8890
Karimnagar ,Jun-2017,10542
Karimnagar ,Jul-2017,12350
Karimnagar ,Aug-2017,10952
Karimnagar ,Sep-2017,7576
Karimnagar ,Oct-2017,8371
Karimnagar ,Nov-2017,8705
Karimnagar ,Dec-2017,13065
Khammam,Jan-2017,132528
Khammam,Feb-2017,115470
Khammam,Mar-2017,101878
Khammam,Apr-2017,135920
Khammam,May-2017,138799
Khammam,Jun-2017,138158
Khammam,Jul-2017,105102
Khammam,Aug-2017,129159
Khammam,Sep-2017,140821
Khammam,Oct-2017,155943
Khammam,Nov-2017,110800
Khammam,Dec-2017,137825
Komaram Bheem Asifabad,Jan-2017,2241
Komaram Bheem Asifabad,Feb-2017,2490
Komaram Bheem Asifabad,Mar-2017,2767
Komaram Bheem Asifabad,Apr-2017,3074
Komaram Bheem Asifabad,May-2017,3416
Komaram Bheem Asifabad,Jun-2017,3796
Komaram Bheem Asifabad,Jul-2017,3713
Komaram Bheem Asifabad,Aug-2017,3665
Komaram Bheem Asifabad,Sep-2017,3934
Komaram Bheem Asifabad,Oct-2017,14050
Komaram Bheem Asifabad,Nov-2017,3627
Komaram Bheem Asifabad,Dec-2017,4218
Mahabubabad ,Jan-2017,13260
Mahabubabad ,Feb-2017,13045
Mahabubabad ,Mar-2017,9100
Mahabubabad ,Apr-2017,9140
Mahabubabad ,May-2017,10220
Mahabubabad ,Jun-2017,10130
Mahabubabad ,Jul-2017,10170
Mahabubabad ,Aug-2017,12520
Mahabubabad ,Sep-2017,13140
Mahabubabad ,Oct-2017,13750
Mahabubabad ,Nov-2017,13560
Mahabubabad ,Dec-2017,13780
Mahbubnagar,Jan-2017,446135
Mahbubnagar,Feb-2017,805392
Mahbubnagar,Mar-2017,178256
Mahbubnagar,Apr-2017,208694
Mahbubnagar,May-2017,214209
Mahbubnagar,Jun-2017,179210
Mahbubnagar,Jul-2017,179099
Mahbubnagar,Aug-2017,215229
Mahbubnagar,Sep-2017,180675
Mahbubnagar,Oct-2017,196103
Mahbubnagar,Nov-2017,259060
Mahbubnagar,Dec-2017,426167
Mancherial,Jan-2017,2937
Mancherial,Feb-2017,3130
Mancherial,Mar-2017,2775
Mancherial,Apr-2017,1513
Mancherial,May-2017,1424
Mancherial,Jun-2017,2119
Mancherial,Jul-2017,33591
Mancherial,Aug-2017,26104
Mancherial,Sep-2017,24297
Mancherial,Oct-2017,37671
Mancherial,Nov-2017,25737
Mancherial,Dec-2017,30328
Medak ,Jan-2017,523000
Medak ,Feb-2017,543321
Medak ,Mar-2017,548535
Medak ,Apr-2017,554864
Medak ,May-2017,556891
Medak ,Jun-2017,561469
Medak ,Jul-2017,575300
Medak ,Aug-2017,632830
Medak ,Sep-2017,696113
Medak ,Oct-2017,765724
Medak ,Nov-2017,842296
Medak ,Dec-2017,926526
Medchal ,Jan-2017, 
Medchal ,Feb-2017, 
Medchal ,Mar-2017, 
Medchal ,Apr-2017, 
Medchal ,May-2017, 
Medchal ,Jun-2017, 
Medchal ,Jul-2017, 
Medchal ,Aug-2017, 
Medchal ,Sep-2017, 
Medchal ,Oct-2017, 
Medchal ,Nov-2017, 
Medchal ,Dec-2017, 
Nagarkurnool ,Jan-2017,382879
Nagarkurnool ,Feb-2017,286258
Nagarkurnool ,Mar-2017,184508
Nagarkurnool ,Apr-2017,183697
Nagarkurnool ,May-2017,183697
Nagarkurnool ,Jun-2017,180010
Nagarkurnool ,Jul-2017,180010
Nagarkurnool ,Aug-2017,181861
Nagarkurnool ,Sep-2017,118010
Nagarkurnool ,Oct-2017,201050
Nagarkurnool ,Nov-2017,188786
Nagarkurnool ,Dec-2017,382879
Nalgonda,Jan-2017,4447
Nalgonda,Feb-2017,8652
Nalgonda,Mar-2017,8054
Nalgonda,Apr-2017,44295
Nalgonda,May-2017,10750
Nalgonda,Jun-2017,37879
Nalgonda,Jul-2017,21361
Nalgonda,Aug-2017,9363
Nalgonda,Sep-2017,17465
Nalgonda,Oct-2017,36066
Nalgonda,Nov-2017,17687
Nalgonda,Dec-2017,25897
Nirmal,Jan-2017,340311
Nirmal,Feb-2017,415326
Nirmal,Mar-2017,442057
Nirmal,Apr-2017,274132
Nirmal,May-2017,297233
Nirmal,Jun-2017,340359
Nirmal,Jul-2017,328101
Nirmal,Aug-2017,340430
Nirmal,Sep-2017,528540
Nirmal,Oct-2017,388644
Nirmal,Nov-2017,369365
Nirmal,Dec-2017,340585
Nizamabad,Jan-2017,613
Nizamabad,Feb-2017,1752
Nizamabad,Mar-2017,660
Nizamabad,Apr-2017,1048
Nizamabad,May-2017,1341
Nizamabad,Jun-2017,2391
Nizamabad,Jul-2017,1520
Nizamabad,Aug-2017,1583
Nizamabad,Sep-2017,933
Nizamabad,Oct-2017,6644
Nizamabad,Nov-2017,1677
Nizamabad,Dec-2017,1787
Peddapalli,Jan-2017,1345
Peddapalli,Feb-2017,1378
Peddapalli,Mar-2017,965
Peddapalli,Apr-2017,750
Peddapalli,May-2017,640
Peddapalli,Jun-2017,885
Peddapalli,Jul-2017,1095
Peddapalli,Aug-2017,1385
Peddapalli,Sep-2017,1155
Peddapalli,Oct-2017,1595
Peddapalli,Nov-2017,1940
Peddapalli,Dec-2017,1765
Rajanna Sircilla ,Jan-2017,615842
Rajanna Sircilla ,Feb-2017,1255569
Rajanna Sircilla ,Mar-2017,1030441
Rajanna Sircilla ,Apr-2017,1146782
Rajanna Sircilla ,May-2017,1117228
Rajanna Sircilla ,Jun-2017,1113882
Rajanna Sircilla ,Jul-2017,462022
Rajanna Sircilla ,Aug-2017,1004410
Rajanna Sircilla ,Sep-2017,487060
Rajanna Sircilla ,Oct-2017,845620
Rajanna Sircilla ,Nov-2017,1191129
Rajanna Sircilla ,Dec-2017,1649362
Ranga Reddy,Jan-2017, 
Ranga Reddy,Feb-2017, 
Ranga Reddy,Mar-2017, 
Ranga Reddy,Apr-2017, 
Ranga Reddy,May-2017, 
Ranga Reddy,Jun-2017, 
Ranga Reddy,Jul-2017, 
Ranga Reddy,Aug-2017, 
Ranga Reddy,Sep-2017, 
Ranga Reddy,Oct-2017, 
Ranga Reddy,Nov-2017, 
Ranga Reddy,Dec-2017, 
Sangareddy ,Jan-2017,195000
Sangareddy ,Feb-2017,140000
Sangareddy ,Mar-2017,275000
Sangareddy ,Apr-2017,215000
Sangareddy ,May-2017,215000
Sangareddy ,Jun-2017,180000
Sangareddy ,Jul-2017,195000
Sangareddy ,Aug-2017,295000
Sangareddy ,Sep-2017,200000
Sangareddy ,Oct-2017,232000
Sangareddy ,Nov-2017,324500
Sangareddy ,Dec-2017,356950
Siddipet,Jan-2017,80500
Siddipet,Feb-2017,80500
Siddipet,Mar-2017,80500
Siddipet,Apr-2017,80500
Siddipet,May-2017,80500
Siddipet,Jun-2017,60000
Siddipet,Jul-2017,88550
Siddipet,Aug-2017,97405
Siddipet,Sep-2017,107146
Siddipet,Oct-2017,117861
Siddipet,Nov-2017,129647
Siddipet,Dec-2017,142612
Suryapet,Jan-2017,0
Suryapet,Feb-2017,0
Suryapet,Mar-2017,0
Suryapet,Apr-2017,0
Suryapet,May-2017,0
Suryapet,Jun-2017,0
Suryapet,Jul-2017,0
Suryapet,Aug-2017,0
Suryapet,Sep-2017,0
Suryapet,Oct-2017,0
Suryapet,Nov-2017,0
Suryapet,Dec-2017,0
Vikarabad,Jan-2017, 
Vikarabad,Feb-2017, 
Vikarabad,Mar-2017, 
Vikarabad,Apr-2017, 
Vikarabad,May-2017, 
Vikarabad,Jun-2017, 
Vikarabad,Jul-2017, 
Vikarabad,Aug-2017, 
Vikarabad,Sep-2017, 
Vikarabad,Oct-2017, 
Vikarabad,Nov-2017, 
Vikarabad,Dec-2017, 
Wanaparthy ,Jan-2017,22152
Wanaparthy ,Feb-2017,22342
Wanaparthy ,Mar-2017,20050
Wanaparthy ,Apr-2017,11502
Wanaparthy ,May-2017,11502
Wanaparthy ,Jun-2017,19092
Wanaparthy ,Jul-2017,19092
Wanaparthy ,Aug-2017,21375
Wanaparthy ,Sep-2017,35860
Wanaparthy ,Oct-2017,21234
Wanaparthy ,Nov-2017,18348
Wanaparthy ,Dec-2017,22152
Warangal (Rural),Jan-2017,8000
Warangal (Rural),Feb-2017,8300
Warangal (Rural),Mar-2017,7800
Warangal (Rural),Apr-2017,7600
Warangal (Rural),May-2017,8500
Warangal (Rural),Jun-2017,9000
Warangal (Rural),Jul-2017,13600
Warangal (Rural),Aug-2017,13650
Warangal (Rural),Sep-2017,13800
Warangal (Rural),Oct-2017,16500
Warangal (Rural),Nov-2017,16300
Warangal (Rural),Dec-2017,21200
Warangal (Urban),Jan-2017,130608
Warangal (Urban),Feb-2017,126608
Warangal (Urban),Mar-2017,118298
Warangal (Urban),Apr-2017,107133
Warangal (Urban),May-2017,109915
Warangal (Urban),Jun-2017,111530
Warangal (Urban),Jul-2017,116545
Warangal (Urban),Aug-2017,116810
Warangal (Urban),Sep-2017,117150
Warangal (Urban),Oct-2017,119255
Warangal (Urban),Nov-2017,119360
Warangal (Urban),Dec-2017,126790
Yadadri Bhongir,Jan-2017,678000
Yadadri Bhongir,Feb-2017,540500
Yadadri Bhongir,Mar-2017,525588
Yadadri Bhongir,Apr-2017,570000
Yadadri Bhongir,May-2017,458700
Yadadri Bhongir,Jun-2017,685880
Yadadri Bhongir,Jul-2017,481240
Yadadri Bhongir,Aug-2017,680720
Yadadri Bhongir,Sep-2017,678925
Yadadri Bhongir,Oct-2017,683500
Yadadri Bhongir,Nov-2017,537600
Yadadri Bhongir,Dec-2017,481075
